ID,IN,OUT,soc,cap
50780,49,60,17.45,60
136060,72,87,25.62,60
78396,34,41,55.11,60
20509,18,67,22.9,60
45942,30,70,47.56,60
18467,48,71,11.45,60
63967,32,78,54.79,60
27635,41,48,27.38,60
94555,34,68,13.38,60
21594,31,63,35.98,60
94371,58,79,51.35,60
59630,37,69,19.48,60
114738,35,65,51,60
75149,28,68,36.77,60
90509,26,75,46.56,60
19226,49,65,24.58,60
45802,39,66,43.04,60
63184,40,79,36.82,60
89438,30,70,41.69,60
77153,22,84,9.1,60
106825,32,71,26.38,60
59078,34,43,24.11,60
22827,28,70,15.63,60
143854,40,80,28.58,60
40003,34,56,13.02,60
102406,45,86,45.77,60
125148,35,76,30.61,60
128575,29,66,39.78,60
88521,32,92,38.09,60
73497,56,73,43.32,60
149346,22,68,46.68,60
43679,40,45,42.35,60
122820,42,50,28.66,60
121816,37,75,52.87,60
99541,40,64,16.41,60
76482,36,70,37.08,60
138630,33,68,41.26,60
110835,49,76,56.1,60
26408,54,64,45.59,60
136148,18,63,16.1,60
9471,35,85,32.77,60
133017,34,63,51.12,60
116879,70,77,27.42,60
67544,32,77,31.86,60
32517,32,39,37.94,60
2468,26,51,53.53,60
105051,16,92,7.75,60
55355,53,59,51.52,60
84497,44,66,33.97,60
108013,59,73,46.97,60
129672,34,67,22.98,60
36281,32,68,36.86,60
99278,40,59,30.55,60
62178,42,84,36.62,60
99597,32,61,52.97,60
44370,33,83,21.95,60
143933,37,55,44.11,60
147289,26,70,45.1,60
134088,26,64,28.47,60
28514,32,69,59.27,60
84724,53,70,47.81,60
111069,52,66,38.68,60
35990,26,85,40.35,60
133881,40,67,12.33,60
135245,36,75,7.75,60
108708,38,70,7.45,60
92211,30,61,27.27,60
101583,29,80,26.45,60
29112,52,55,56.98,60
5583,71,89,49.93,60
51802,35,56,32.24,60
110724,36,73,10.21,60
129084,49,80,37.65,60
105070,33,69,29.54,60
95108,72,80,48.51,60
140427,47,57,21.74,60
44647,28,38,12.73,60
69312,28,68,36.21,60
123962,42,60,35.54,60
18872,46,57,41.16,60
149819,30,46,40.68,60
9010,27,70,37.11,60
114664,64,77,21.26,60
37390,50,64,50.81,60
134917,32,46,53.93,60
149246,38,69,25.09,60
115720,74,80,41.43,60
20726,28,72,48.06,60
116842,27,59,22.15,60
49173,36,74,53.96,60
100751,40,48,24.74,60
46687,64,73,24.59,60
73127,44,48,51.76,60
5142,28,63,24.85,60
14615,22,59,29.99,60
114426,60,75,19.8,60
29822,31,67,37.74,60
93013,26,68,38.45,60
140020,35,45,24.74,60
48404,75,85,29.9,60
10059,21,52,32.06,60
47723,36,77,23.23,60
48810,35,68,42.4,60
21014,28,71,39.55,60
122311,44,82,50.68,60
60145,42,82,13.93,60
115230,43,61,31.54,60
84155,26,78,31.34,60
150815,52,62,31.57,60
64049,45,83,11.55,60
86724,40,64,49.07,60
