BuildingIndex,Year,Month,Day,Hour,Quarter,DemandMean,CIMin,CIMax,CILevel,pmfStartIndx,pmfStep,DemandpmfData1,DemandpmfData2,DemandpmfData3,DemandpmfData4,DemandpmfData5,DemandpmfData6,DemandpmfData7,DemandpmfData8,DemandpmfData9,DemandpmfData10
1,2019,5,18,20,2,7.76052,1.848456,13.672584,95,7.5,0.1,0,0,1,0,0,0,0,0,0,0
1,2019,5,18,20,3,5.059859,0,15.573803,95,4.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,21,0,4.917921,0,15.568289,95,4.5,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,21,1,6.093986,0,13.968139,95,5.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,21,2,6.082317,0,13.348938,95,5.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,21,3,5.748956,0,12.472418,95,5,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,22,0,5.786902,0.125758,11.448045,95,5.5,0.1,0,0,1,0,0,0,0,0,0,0
1,2019,5,18,22,1,5.594508,0.24911,10.939907,95,5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,22,2,5.830123,0.498112,11.162135,95,5.5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,22,3,6.780419,2.368388,11.192449,95,6.5,0.1,0,0,1,0,0,0,0,0,0,0
1,2019,5,18,23,0,5.413898,0,12.241248,95,5,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,23,1,6.112864,0.64196,11.583768,95,5.5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,23,2,6.442448,1.658389,11.226507,95,6,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,17,23,3,5.080223,0,10.783916,95,4.5,0.1,0,0,0,0,0,1,0,0,0,0
